rnum,rank,targetDt,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,scrnCnt,showCnt,movieNmEn,genreAlt,repNationNm,repGenreNm
8,8,20170215,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,51332000,1.7,6815,311,640,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
2,2,20170216,OLD,20150964,조작된 도시,2017-02-09 00:00:00,566544100,18.2,75708,729,2923,Fabricated City,"범죄,액션",한국,범죄
4,4,20170216,OLD,20151228,공조,2017-01-18 00:00:00,264392400,8.5,36022,557,1549,Confidential Assignment,액션,한국,액션
9,9,20170216,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,39208200,1.3,5193,275,525,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
2,2,20170217,OLD,20150964,조작된 도시,2017-02-09 00:00:00,763363690,19.5,91801,773,3218,Fabricated City,"범죄,액션",한국,범죄
4,4,20170217,OLD,20151228,공조,2017-01-18 00:00:00,347836051,8.9,41352,536,1606,Confidential Assignment,액션,한국,액션
9,9,20170217,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,51954100,1.3,6054,285,552,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
2,2,20170218,OLD,20150964,조작된 도시,2017-02-09 00:00:00,1620878074,21.1,192248,829,3516,Fabricated City,"범죄,액션",한국,범죄
4,4,20170218,OLD,20151228,공조,2017-01-18 00:00:00,687210327,8.9,80982,539,1614,Confidential Assignment,액션,한국,액션
9,9,20170218,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,91178900,1.2,10425,272,475,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
2,2,20170219,OLD,20150964,조작된 도시,2017-02-09 00:00:00,1509223700,21.2,179139,821,3406,Fabricated City,"범죄,액션",한국,범죄
5,5,20170219,OLD,20151228,공조,2017-01-18 00:00:00,604653800,8.5,71218,521,1533,Confidential Assignment,액션,한국,액션
9,9,20170219,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,76093200,1.1,8748,275,448,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
2,2,20170220,OLD,20150964,조작된 도시,2017-02-09 00:00:00,473420400,19.6,63134,738,3130,Fabricated City,"범죄,액션",한국,범죄
4,4,20170220,OLD,20151228,공조,2017-01-18 00:00:00,198335500,8.2,26372,513,1490,Confidential Assignment,액션,한국,액션
9,9,20170220,OLD,20167716,트리플 엑스 리턴즈,2017-02-08 00:00:00,28340400,1.2,3770,259,436,xXx: Return of Xander Cage,"액션,어드벤처,스릴러",미국,액션
2,2,20170221,OLD,20150964,조작된 도시,2017-02-09 00:00:00,441554300,18.8,59236,747,3145,Fabricated City,"범죄,액션",한국,범죄
5,5,20170221,OLD,20151228,공조,2017-01-18 00:00:00,187502300,8,25227,510,1480,Confidential Assignment,액션,한국,액션
4,4,20170222,OLD,20150964,조작된 도시,2017-02-09 00:00:00,350908200,9.8,58961,520,1694,Fabricated City,"범죄,액션",한국,범죄
5,5,20170222,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,257445100,7.2,40988,224,1007,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
10,10,20170222,OLD,20151228,공조,2017-01-18 00:00:00,97681700,2.7,15745,339,629,Confidential Assignment,액션,한국,액션
4,4,20170223,OLD,20150964,조작된 도시,2017-02-09 00:00:00,253174000,7.8,33918,500,1661,Fabricated City,"범죄,액션",한국,범죄
6,6,20170223,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,179767700,5.5,22981,213,987,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
10,10,20170223,OLD,20151228,공조,2017-01-18 00:00:00,79016400,2.4,10867,340,600,Confidential Assignment,액션,한국,액션
4,4,20170224,OLD,20150964,조작된 도시,2017-02-09 00:00:00,309739128,7.9,37363,515,1656,Fabricated City,"범죄,액션",한국,범죄
6,6,20170224,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,223047100,5.7,25443,241,1028,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
9,9,20170224,OLD,20151228,공조,2017-01-18 00:00:00,86666700,2.2,10561,326,566,Confidential Assignment,액션,한국,액션
3,3,20170225,OLD,20150964,조작된 도시,2017-02-09 00:00:00,640086951,9,76656,545,1691,Fabricated City,"범죄,액션",한국,범죄
6,6,20170225,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,413663800,5.8,46729,250,1041,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
8,8,20170225,OLD,20151228,공조,2017-01-18 00:00:00,174445500,2.4,20672,335,553,Confidential Assignment,액션,한국,액션
3,3,20170226,OLD,20150964,조작된 도시,2017-02-09 00:00:00,636204600,9.4,76007,538,1634,Fabricated City,"범죄,액션",한국,범죄
6,6,20170226,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,364033200,5.4,41344,247,1006,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
8,8,20170226,OLD,20151228,공조,2017-01-18 00:00:00,163037900,2.4,19474,336,545,Confidential Assignment,액션,한국,액션
4,4,20170227,OLD,20150964,조작된 도시,2017-02-09 00:00:00,213595100,7.8,28848,498,1596,Fabricated City,"범죄,액션",한국,범죄
6,6,20170227,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,127526100,4.7,16255,222,966,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
8,8,20170227,OLD,20151228,공조,2017-01-18 00:00:00,62895800,2.3,8492,318,555,Confidential Assignment,액션,한국,액션
2,2,20170228,OLD,20161827,로건,2017-03-01 00:00:00,792353500,21.8,97994,831,2234,Logan,"액션,SF",미국,액션
5,5,20170228,OLD,20150964,조작된 도시,2017-02-09 00:00:00,231674300,6.4,31737,516,1346,Fabricated City,"범죄,액션",한국,범죄
7,7,20170228,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,106476300,2.9,13795,238,762,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
2,2,20170301,OLD,20161827,로건,2017-03-01 00:00:00,2278583500,25.7,256255,849,3782,Logan,"액션,SF",미국,액션
7,7,20170301,OLD,20150964,조작된 도시,2017-02-09 00:00:00,149143600,1.7,18446,258,409,Fabricated City,"범죄,액션",한국,범죄
10,10,20170301,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,98326400,1.1,11417,165,404,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
1,1,20170302,OLD,20161827,로건,2017-03-01 00:00:00,717483800,32.4,91603,817,3587,Logan,"액션,SF",미국,액션
9,9,20170302,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,35080400,1.6,4522,172,446,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
10,10,20170302,OLD,20150964,조작된 도시,2017-02-09 00:00:00,29531400,1.3,3996,263,405,Fabricated City,"범죄,액션",한국,범죄
1,1,20170303,OLD,20161827,로건,2017-03-01 00:00:00,1058967148,37.2,120875,852,3710,Logan,"액션,SF",미국,액션
8,8,20170303,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,48766500,1.7,5593,170,436,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
9,9,20170303,OLD,20150964,조작된 도시,2017-02-09 00:00:00,43770800,1.5,5293,264,429,Fabricated City,"범죄,액션",한국,범죄
1,1,20170304,OLD,20161827,로건,2017-03-01 00:00:00,2396326817,38.2,269110,926,4029,Logan,"액션,SF",미국,액션
8,8,20170304,OLD,20150964,조작된 도시,2017-02-09 00:00:00,104955000,1.7,12629,259,438,Fabricated City,"범죄,액션",한국,범죄
10,10,20170304,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,83014500,1.3,9410,178,385,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
1,1,20170305,OLD,20161827,로건,2017-03-01 00:00:00,2153128400,39.6,242997,954,4047,Logan,"액션,SF",미국,액션
7,7,20170305,OLD,20150964,조작된 도시,2017-02-09 00:00:00,99962400,1.8,11901,251,431,Fabricated City,"범죄,액션",한국,범죄
1,1,20170306,OLD,20161827,로건,2017-03-01 00:00:00,681379000,43.8,87367,886,3857,Logan,"액션,SF",미국,액션
9,9,20170306,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,25878900,1.7,3964,176,402,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
10,10,20170306,OLD,20150964,조작된 도시,2017-02-09 00:00:00,27730300,1.8,3820,236,412,Fabricated City,"범죄,액션",한국,범죄
1,1,20170307,OLD,20161827,로건,2017-03-01 00:00:00,613191900,40.6,78915,877,3832,Logan,"액션,SF",미국,액션
10,10,20170307,OLD,20166101,존 윅 - 리로드,2017-02-22 00:00:00,25765000,1.7,3990,174,407,John Wick Chapter Two,"액션,범죄,스릴러",미국,액션
1,1,20170308,OLD,20168183,콩: 스컬 아일랜드,2017-03-08 00:00:00,743887100,39.5,93804,780,3927,Kong: Skull Island,"액션,어드벤처,판타지",미국,액션
2,2,20170308,OLD,20161827,로건,2017-03-01 00:00:00,512820600,27.3,66647,822,3313,Logan,"액션,SF",미국,액션
1,1,20170309,OLD,20168183,콩: 스컬 아일랜드,2017-03-08 00:00:00,698423100,40.4,89323,821,3960,Kong: Skull Island,"액션,어드벤처,판타지",미국,액션
2,2,20170309,OLD,20161827,로건,2017-03-01 00:00:00,448535400,25.9,58148,804,3213,Logan,"액션,SF",미국,액션
1,1,20170310,OLD,20168183,콩: 스컬 아일랜드,2017-03-08 00:00:00,1056097973,42.9,120878,846,4187,Kong: Skull Island,"액션,어드벤처,판타지",미국,액션
2,2,20170310,OLD,20161827,로건,2017-03-01 00:00:00,687272527,27.9,78974,831,3365,Logan,"액션,SF",미국,액션
1,1,20170311,OLD,20168183,콩: 스컬 아일랜드,2017-03-08 00:00:00,3132944270,49.7,365391,984,4949,Kong: Skull Island,"액션,어드벤처,판타지",미국,액션
2,2,20170311,OLD,20161827,로건,2017-03-01 00:00:00,1549437630,24.6,175967,899,3633,Logan,"액션,SF",미국,액션
1,1,20170312,OLD,20168183,콩: 스컬 아일랜드,2017-03-08 00:00:00,2881542800,51.2,336936,984,4886,Kong: Skull Island,"액션,어드벤처,판타지",미국,액션
2,2,20170312,OLD,20161827,로건,2017-03-01 00:00:00,1276600700,22.7,145438,880,3520,Logan,"액션,SF",미국,액션
1,1,20170313,OLD,20168183,콩: 스컬 아일랜드,2017-03-08 00:00:00,507224700,39.9,64860,874,4251,Kong: Skull Island,"액션,어드벤처,판타지",미국,액션
2,2,20170313,OLD,20161827,로건,2017-03-01 00:00:00,336682400,26.5,43840,807,3245,Logan,"액션,SF",미국,액션
1,1,20170314,OLD,20168183,콩: 스컬 아일랜드,2017-03-08 00:00:00,499328500,37,63930,893,4251,Kong: Skull Island,"액션,어드벤처,판타지",미국,액션
2,2,20170314,OLD,20161827,로건,2017-03-01 00:00:00,340937900,25.3,44292,815,3224,Logan,"액션,SF",미국,액션
